Owner,Team,League,Recipient,Amount,Election Year,Party,Desempenho
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,GROWTH ENERGY PAC,"$10,000 ",2020,Bipartisan,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,POET PAC,"$10,000 ",2020,Bipartisan,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,GROWTH ENERGY PAC,"$7,500 ",2016,Bipartisan,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,GROWTH ENERGY PAC,"$7,500 ",2018,Bipartisan,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,HUDSON FOR CONGRESS,"$5,600 ",2020,Republican,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,HUDSON FOR CONGRESS,"$5,400 ",2016,Republican,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,SCOTT WALKER INC,"$5,400 ",2016,Republican,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,HUDSON FOR CONGRESS,"$5,400 ",2018,Republican,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,NORTH CAROLINA REPUBLICAN PARTY,"$5,000 ",2016,Republican,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,FIRST IN FREEDOM PAC,"$5,000 ",2018,Republican,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,Team Ryan,"$5,000 ",2018,Republican,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,TED BUDD FOR CONGRESS,"$5,000 ",2018,Republican,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,FIRST IN FREEDOM PAC,"$5,000 ",2020,Republican,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,VIRGINIA FOXX FOR CONGRESS,"$4,700 ",2018,Republican,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,FRIENDS OF KIP TOM,"$2,700 ",2016,Republican,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,GREG FOR MONTANA,"$2,700 ",2018,Republican,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,TROY DOWNING FOR US SENATE,"$2,700 ",2018,Republican,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,BISHOP FOR CONGRESS,"$1,000 ",2020,Republican,
Richard Childress,RICHARD CHILDRESS RACING,NASCAR,MARINO FOR CONGRESS,$500 ,2016,Republican,
Richard L. Monfort,COLORADO ROCKIES,MLB,Colorado Republican Committee,"$10,000 ",2016,Republican,0.463
Richard L. Monfort,COLORADO ROCKIES,MLB,Colorado Republican Committee,"$10,000 ",2018,Republican,0.558
Richard L. Monfort,COLORADO ROCKIES,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$5,000 ",2020,Bipartisan,
Richard L. Monfort,COLORADO ROCKIES,MLB,JON KEYSER FOR SENATE,"$3,700 ",2016,Republican,0.463
Richard L. Monfort,COLORADO ROCKIES,MLB,DEB FISCHER FOR US SENATE,"$2,700 ",2018,Republican,0.558
Richard L. Monfort,COLORADO ROCKIES,MLB,FRIENDS OF JOHN MCCAIN INC,"$1,000 ",2016,Republican,0.463
Richard L. Monfort,COLORADO ROCKIES,MLB,Brady for Congress,"$1,000 ",2018,Republican,0.558
Richard L. Monfort,COLORADO ROCKIES,MLB,Cory Gardner for Senate,"$1,000 ",2018,Republican,0.558
Richard L. Monfort,COLORADO ROCKIES,MLB,HOUSE CD6,"$1,000 ",2020,Republican,
Richard Petty,RICHARD PETTY MOTORSPORTS,NASCAR,North Carolina Republican Party,"$1,000 ",2016,Republican,
Rick Hendrick,HENDRICK MOTORSPORTS,NASCAR,HUDSON FREEDOM FUND,"$25,000 ",2018,Republican,
Rick Hendrick,HENDRICK MOTORSPORTS,NASCAR,TEAM RYAN,"$25,000 ",2018,Republican,
Rick Hendrick,HENDRICK MOTORSPORTS,NASCAR,TEAM HUDSON,"$25,000 ",2020,Republican,
Rick Hendrick,HENDRICK MOTORSPORTS,NASCAR,NRCC,"$14,600 ",2016,Republican,
Rick Hendrick,HENDRICK MOTORSPORTS,NASCAR,HUDSON FREEDOM FUND,"$10,000 ",2018,Republican,
Rick Hendrick,HENDRICK MOTORSPORTS,NASCAR,THOM TILLIS COMMITTEE,"$5,600 ",2020,Republican,
Rick Hendrick,HENDRICK MOTORSPORTS,NASCAR,HUDSON FOR CONGRESS,"$5,400 ",2016,Republican,
Rick Hendrick,HENDRICK MOTORSPORTS,NASCAR,HUDSON FOR CONGRESS,"$5,400 ",2018,Republican,
Rick Hendrick,HENDRICK MOTORSPORTS,NASCAR,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,"$5,000 ",2016,"Bipartisan, but mostly Republican",
Rick Hendrick,HENDRICK MOTORSPORTS,NASCAR,FIRST IN FREEDOM PAC,"$5,000 ",2018,Republican,
Rick Hendrick,HENDRICK MOTORSPORTS,NASCAR,FIRST IN FREEDOM PAC,"$5,000 ",2018,Republican,
Rick Hendrick,HENDRICK MOTORSPORTS,NASCAR,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,"$2,500 ",2018,"Bipartisan, but mostly Republican",
Rick Hendrick,HENDRICK MOTORSPORTS,NASCAR,NATIONAL AUTOMOBILE DEALERS ASSOCIATION POLITICAL ACTION COMMITTEE,"$2,500 ",2020,"Bipartisan, but mostly Republican",
Rick Hendrick,HENDRICK MOTORSPORTS,NASCAR,FRIENDS OF PATRICK MURPHY,"$1,000 ",2016,Democrat,
Rob Manfred,COMMISSIONER,MLB,AUGUST WOLF FOR SENATE,"$2,700 ",2016,Republican,
Rob Manfred,COMMISSIONER,MLB,STAPLETON VICTORY FUND,"$2,500 ",2018,Republican,
Robert H. Castellini,CINCINNATI REDS,MLB,SENATE LEADERSHIP FUND,"$225,000 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,OUR PRINCIPLES PAC,"$150,000 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,REPUBLICAN NATIONAL COMMITTEE,"$112,400 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,CONGRESSIONAL LEADERSHIP FUND,"$100,000 ",2018,Republican,0.414
Robert H. Castellini,CINCINNATI REDS,MLB,SENATE LEADERSHIP FUND,"$75,000 ",2018,Republican,0.414
Robert H. Castellini,CINCINNATI REDS,MLB,REPUBLICAN NATIONAL COMMITTEE,"$70,000 ",2018,Republican,0.414
Robert H. Castellini,CINCINNATI REDS,MLB,REPUBLICAN NATIONAL COMMITTEE,"$70,000 ",2020,Republican,
Robert H. Castellini,CINCINNATI REDS,MLB,BOEHNER FOR SPEAKER,"$50,000 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,CONGRESSIONAL LEADERSHIP FUND,"$50,000 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,AYOTTE VICTORY COMMITTEE,"$25,000 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,FIGHTING FOR OHIO FUND,"$25,000 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,RUBIO VICTORY COMMITTEE,"$25,000 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,TAKE BACK THE HOUSE 2020,"$25,000 ",2020,Republican,
Robert H. Castellini,CINCINNATI REDS,MLB,OHIO REPUBLICAN PARTY STATE CENTRAL & EXECUTIVE COMMITTEE,"$20,000 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,PORTMAN VICTORY COMMITTEE,"$20,000 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,JOHN BOLTON SUPER PAC,"$10,000 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,REPUBLICAN PARTY OF KENTUCKY,"$10,000 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$10,000 ",2016,Bipartisan,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,JOHN BOLTON SUPER PAC,"$10,000 ",2018,Republican,0.414
Robert H. Castellini,CINCINNATI REDS,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$10,000 ",2018,Bipartisan,0.414
Robert H. Castellini,CINCINNATI REDS,MLB,NRSC,"$10,000 ",2020,Republican,
Robert H. Castellini,CINCINNATI REDS,MLB,REPUBLICAN PARTY OF KENTUCKY,"$10,000 ",2020,Republican,
Robert H. Castellini,CINCINNATI REDS,MLB,"RIGHT TO RISE PAC, INC.","$8,682 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,COLLINS FOR SENATOR,"$5,600 ",2020,Republican,
Robert H. Castellini,CINCINNATI REDS,MLB,STEVE CHABOT FOR CONGRESS,"$5,600 ",2020,Republican,
Robert H. Castellini,CINCINNATI REDS,MLB,CARLOS CURBELO CONGRESS,"$5,400 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,RICK SCOTT FOR FLORIDA,"$5,400 ",2018,Republican,0.414
Robert H. Castellini,CINCINNATI REDS,MLB,STEVE CHABOT FOR CONGRESS,"$5,400 ",2018,Republican,0.414
Robert H. Castellini,CINCINNATI REDS,MLB,Portman for Senate Committee,"$5,400 ",2020,Republican,
Robert H. Castellini,CINCINNATI REDS,MLB,STEVE CHABOT FOR CONGRESS,"$5,300 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,WENSTRUP FOR CONGRESS,"$5,200 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,PERDUE FOR SENATE,"$5,200 ",2018,Republican,0.414
Robert H. Castellini,CINCINNATI REDS,MLB,PORTMAN-OHIO VICTORY COMMITTEE,"$5,000 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,JONI FOR IOWA,"$5,000 ",2018,Republican,0.414
Robert H. Castellini,CINCINNATI REDS,MLB,PROMOTING OUR REPUBLICAN TEAM PAC,"$5,000 ",2018,Republican,0.414
Robert H. Castellini,CINCINNATI REDS,MLB,CINCINNATUS PAC,"$5,000 ",2018,Democrat,0.414
Robert H. Castellini,CINCINNATI REDS,MLB,"TEAM GRAHAM, INC.","$5,000 ",2020,Republican,
Robert H. Castellini,CINCINNATI REDS,MLB,OFFICE OF THE COMMISSIONER OF MAJOR LEAGUE BASEBALL POLITICAL ACTION COMMITTEE,"$5,000 ",2020,Bipartisan,
Robert H. Castellini,CINCINNATI REDS,MLB,MCSALLY FOR SENATE INC,"$2,800 ",2020,Republican,
Robert H. Castellini,CINCINNATI REDS,MLB,ROGER WILLIAMS FOR U S CONGRESS COMMITTEE,"$2,800 ",2020,Republican,
Robert H. Castellini,CINCINNATI REDS,MLB,WENSTRUP FOR CONGRESS,"$2,800 ",2020,Republican,
Robert H. Castellini,CINCINNATI REDS,MLB,FRIENDS OF JOE HECK,"$2,700 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,FRIENDS OF PAT TOOMEY,"$2,700 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,FRIENDS OF ROY BLUNT,"$2,700 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,"FRIENDS OF TODD YOUNG, INC.","$2,700 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,KASICH FOR AMERICA INC,"$2,700 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,SCOTT WALKER INC,"$2,700 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,THE RICHARD BURR COMMITTEE,"$2,700 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,LEAH FOR SENATE,"$2,700 ",2018,Republican,0.414
Robert H. Castellini,CINCINNATI REDS,MLB,MCSALLY FOR SENATE INC,"$2,700 ",2018,Republican,0.414
Robert H. Castellini,CINCINNATI REDS,MLB,STEIL VICTORY FUND,"$2,700 ",2018,Republican,0.414
Robert H. Castellini,CINCINNATI REDS,MLB,YOUNG HOOSIER VICTORY FUND,"$2,700 ",2018,Republican,0.414
Robert H. Castellini,CINCINNATI REDS,MLB,MARSHA FOR SENATE,"$2,500 ",2018,Republican,0.414
Robert H. Castellini,CINCINNATI REDS,MLB,TEAM RICK SCOTT,"$2,500 ",2020,Republican,
Robert H. Castellini,CINCINNATI REDS,MLB,ISAKSON VICTORY COMMITTEE,"$2,000 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,KLINE FOR CONGRESS,"$1,000 ",2016,Republican,0.42
Robert H. Castellini,CINCINNATI REDS,MLB,ALASKANS FOR DAN SULLIVAN,"$1,000 ",2020,Republican,
Robert H. Castellini,CINCINNATI REDS,MLB,STEIL VICTORY FUND,"$1,000 ",2020,Republican,
Robert H. Castellini,CINCINNATI REDS,MLB,"YOUNG FOR IOWA, INC.","$1,000 ",2020,Republican,
Robert H. Castellini,CINCINNATI REDS,MLB,CLAUDIA TENNEY FOR CONGRESS,$500 ,2018,Republican,0.414
Robert H. Castellini,CINCINNATI REDS,MLB,AMERICANS FOR PARNELL COMMITTEE,$500 ,2020,Republican,
Robert H. Castellini,CINCINNATI REDS,MLB,"ANDY BARR FOR CONGRESS, INC.",$500 ,2020,Republican,
Robert Kraft,NEW ENGLAND PATRIOTS,NFL,Gridiron-PAC,"$10,000 ",2018,Bipartisan,0.688
Robert Kraft,NEW ENGLAND PATRIOTS,NFL,Gridiron-PAC,"$5,000 ",2016,Bipartisan,0.875
Robert Kraft,NEW ENGLAND PATRIOTS,NFL,EXPERIENCED LEADERSHIP MATTERS PAC,"$5,000 ",2020,Democrat,0.438
Robert Kraft,NEW ENGLAND PATRIOTS,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan,0.438
Robert Kraft,NEW ENGLAND PATRIOTS,NFL,LANGEVIN FOR CONGRESS,"$1,000 ",2016,Democrat,0.875
Robert Plummer,LOS ANGELES DODGERS,MLB,Trump Victory,"$2,800 ",2020,Republican,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",DEFENDARIZONA,"$25,000 ",2018,Republican,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",FLAKE VICTORY COMMITTEE,"$25,000 ",2018,Republican,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",MCCARTHY VICTORY FUND,"$10,000 ",2016,Republican,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",SCHWEIKERT VICTORY COMMITTEE,"$10,000 ",2016,Republican,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",THE DESERT CAUCUS,"$10,000 ",2016,Bipartisan,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",THE DESERT CAUCUS,"$10,000 ",2018,Bipartisan,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",AMERICANS FOR TOMORROW'S FUTURE,"$10,000 ",2020,,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",THE DESERT CAUCUS,"$10,000 ",2020,Bipartisan,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",MCSALLY FOR SENATE INC,"$5,600 ",2020,Republican,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",JEFF FLAKE FOR US SENATE INC,"$5,400 ",2016,Republican,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",MCSALLY FOR CONGRESS,"$5,400 ",2016,Republican,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",FRIENDS OF JOHN MCCAIN INC,"$5,400 ",2016,Republican,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",FRIENDS OF JOHN BARRASSO,"$5,400 ",2018,Republican,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",MCSALLY FOR SENATE INC,"$5,400 ",2018,Republican,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",KYRSTEN SINEMA FOR CONGRESS,"$5,300 ",2016,Democrat,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",MCSALLY FOR CONGRESS,"$2,700 ",2018,Republican,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",SINEMA FOR ARIZONA,"$2,700 ",2018,Democrat,
Robert Sarver,PHOENIX SUNS PHOENIX MERCURY,"NBA, WNBA",MANCHIN FOR WEST VIRGINIA,"$2,500 ",2018,Democrat,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,Right to Rise USA,"$25,000 ",2016,Republican,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,Graham Victory 2020,"$10,300 ",2020,Republican,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,Trump Victory,"$10,000 ",2016,Republican,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,National Beer Wholesalers Association PAC,"$10,000 ",2016,Bipartisan,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,Wine and Spirits Wholesalers of America Inc Pac,"$10,000 ",2016,Bipartisan,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,National Beer Wholesalers Association PAC,"$10,000 ",2020,Bipartisan,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,Wine and Spirits Wholesalers of America Inc PAC ,"$10,000 ",2020,Bipartisan,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,"Team Graham, Inc","$5,600 ",2020,Republican,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,University Public Issues Committee,"$5,000 ",2018,"Bipartisan, but mostly Democratic",
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,National Beer Wholesalers Association PAC,"$5,000 ",2018,Bipartisan,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,"Wine and Spirits Wholesalers of America, Inc Pac","$5,000 ",2018,Bipartisan,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,Roskam for Congress Committee,"$3,700 ",2018,Republican,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,Dold for Congress,"$3,354 ",2016,Republican,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,Housley for Senate Committee,"$2,700 ",2018,Republican,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,Beto for Texas,"$2,700 ",2018,Democrat,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,Dan Lipinski for Congress,"$2,600 ",2018,Democrat,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,Schneider for Congress,"$2,000 ",2020,Democrat,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,Lahood for Congress,"$1,250 ",2020,Republican,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,Jeb 2016 Inc,"$1,000 ",2016,Republican,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,Mike Bost for Congress Committee,"$1,000 ",2016,Republican,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,Portman for Senate Committee,"$1,000 ",2016,Republican,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,The Richard Burr Committee,"$1,000 ",2016,Republican,
Rocky Wirtz,CHICAGO BLACKHAWKS,NHL,University Public Issuees Committee,"$1,000 ",2016,"Bipartisan, but mostly Democratic",
Roger Goodell,COMMISSIONER,NFL,"Hatch Election Committee, Inc","$5,400 ",2016,Republican,
Roger Goodell,COMMISSIONER,NFL,Portman for Senate Committee,"$5,400 ",2018,Republican,
Roger Goodell,COMMISSIONER,NFL,Gridiron-PAC,"$5,000 ",2016,Bipartisan,
Roger Goodell,COMMISSIONER,NFL,"Chris Christie for President, Inc.","$2,700 ",2016,Republican,
Roger Goodell,COMMISSIONER,NFL,Bennet for Colorado,"$2,700 ",2016,Democrat,
Roger Goodell,COMMISSIONER,NFL,Portman for Senate Committee,$120 ,2016,Republican,
Roger Penske,TEAM PENSKE,NASCAR,Right to Rise USA,"$250,000 ",2016,Republican,
Roger Penske,TEAM PENSKE,NASCAR,NRCC,"$50,000 ",2018,Republican,
Roger Penske,TEAM PENSKE,NASCAR,Trump Victory,"$35,000 ",2020,Republican,
Roger Penske,TEAM PENSKE,NASCAR,Stabenow Victory Fund,"$15,000 ",2016,Democrat,
Roger Penske,TEAM PENSKE,NASCAR,Stabenow Victory Fund,"$15,000 ",2018,Democrat,
Roger Penske,TEAM PENSKE,NASCAR,Michigan Democratic State Central Committee,"$10,000 ",2016,Democrat,
Roger Penske,TEAM PENSKE,NASCAR,John James for Senate,"$5,600 ",2020,Republican,
Roger Penske,TEAM PENSKE,NASCAR,Stabenow for U.S. Senate,"$5,400 ",2016,Democrat,
Roger Penske,TEAM PENSKE,NASCAR,Great Lakes PAC,"$5,000 ",2016,Democrat,
Roger Penske,TEAM PENSKE,NASCAR,Universal Techincal Institute PAC (UTIPAC),"$5,000 ",2016,Bipartisan,
Roger Penske,TEAM PENSKE,NASCAR,Universal Technical Institute PAC (UTIPAC) ,"$5,000 ",2016,Bipartisan,
Roger Penske,TEAM PENSKE,NASCAR,Universal Technical Institute PAC,"$5,000 ",2018,Bipartisan,
Roger Penske,TEAM PENSKE,NASCAR,JEB 2016 INC,"$2,700 ",2016,Republican,
Roger Penske,TEAM PENSKE,NASCAR,Brenda Lawrence for Congress,"$2,700 ",2018,Democrat,
Roger Penske,TEAM PENSKE,NASCAR,MI14 PAC,"$2,700 ",2018,Democrat,
Roger Penske,TEAM PENSKE,NASCAR,Brenda Lawrence for Congress,"$2,433 ",2016,Democrat,
Roger Penske,TEAM PENSKE,NASCAR,Brenda Lawrence for Congress,"$2,000 ",2020,Democrat,
Roger Penske,TEAM PENSKE,NASCAR,Caruso-Cabrera for New York,"$2,000 ",2020,Democrat,
Ron Burkle,PITTSBURGH PENGUINS,NHL,SMP,"$500,000 ",2018,Democrat,
Ron Burkle,PITTSBURGH PENGUINS,NHL,PROTECT THE HOUSE,"$371,500 ",2018,Republican,
Ron Burkle,PITTSBURGH PENGUINS,NHL,STANDING UP FOR CALIFORNIA'S MIDDLE CLASS,"$100,000 ",2016,Democrat,
Ron Burkle,PITTSBURGH PENGUINS,NHL,NEW DAY FOR AMERICA,"$100,000 ",2016,Republican,
Ron Burkle,PITTSBURGH PENGUINS,NHL,MCCARTHY VICTORY FUND,"$100,000 ",2018,Republican,
Ron Burkle,PITTSBURGH PENGUINS,NHL,TAKE BACK THE HOUSE 2020,"$46,100 ",2020,Republican,
Ron Burkle,PITTSBURGH PENGUINS,NHL,Kamala Harris Victory Fund,"$15,400 ",2016,Democrat,
Ron Burkle,PITTSBURGH PENGUINS,NHL,BOOKER SENATE VICTORY,"$5,400 ",2018,Democrat,
Ron Burkle,PITTSBURGH PENGUINS,NHL,FEINSTEIN FOR SENATE 2024,"$5,400 ",2018,Democrat,
Ron Burkle,PITTSBURGH PENGUINS,NHL,LOS ANGELES COUNTY DEMOCRATIC CENTRAL COMMITTEE,"$5,000 ",2018,Democrat,
Ron Burkle,PITTSBURGH PENGUINS,NHL,Marco Rubio for President,"$2,700 ",2016,Republican,
Ron Burkle,PITTSBURGH PENGUINS,NHL,Dr. Raul Ruiz for Congress,"$2,700 ",2016,Democrat,
Ron Burkle,PITTSBURGH PENGUINS,NHL,Tony Cardenas for Congress,"$2,700 ",2016,Democrat,
Ron Burkle,PITTSBURGH PENGUINS,NHL,CORY 2020,"$2,700 ",2020,Democrat,
Ron Fowler,SAN DIEGO PADRES,MLB,Office of the Commissioner of Major League Baseball PAC,"$10,000 ",2016,Bipartisan,0.42
Ron Fowler,SAN DIEGO PADRES,MLB,Office of the Commissioner of Major League Baseball PAC,"$10,000 ",2018,Bipartisan,0.407
Ron Fowler,SAN DIEGO PADRES,MLB,NATIONAL BEER WHOLESALERS ASSOCIATION POLITICAL ACTION COMMITTEE,"$5,000 ",2016,Bipartisan,0.42
Ron Fowler,SAN DIEGO PADRES,MLB,Office of the Commissioner of Major League Baseball PAC,"$5,000 ",2020,Bipartisan,
Ron Fowler,SAN DIEGO PADRES,MLB,"JEB 2016, INC.","$2,700 ",2016,Republican,0.42
Saul Katz,NEW YORK METS,MLB,Office of the Commissioner of Major League Baseball PAC,"$6,667 ",2016,Bipartisan,0.537
Saul Katz,NEW YORK METS,MLB,Office of the Commissioner of Major League Baseball PAC,"$6,666 ",2018,Bipartisan,0.475
Saul Katz,NEW YORK METS,MLB,Office of the Commissioner of Major League Baseball PAC,"$3,333 ",2020,Bipartisan,
Saul Katz,NEW YORK METS,MLB,Meeks Victory Fund,"$2,671 ",2020,Democrat,
Saul Katz,NEW YORK METS,MLB,Crowley Leadership Fund,"$2,489 ",2018,Democrat,0.475
Saul Katz,NEW YORK METS,MLB,Suozzi Victory Fund,"$2,432 ",2018,Democrat,0.475
Saul Katz,NEW YORK METS,MLB,Team Rick Scott,"$2,432 ",2020,Republican,
Saul Katz,NEW YORK METS,MLB,Crowley Leadership Fund,"$1,716 ",2016,Democrat,0.537
Saul Katz,NEW YORK METS,MLB,De Blasio 2020,"$1,490 ",2020,Democrat,
Saul Katz,NEW YORK METS,MLB,Engel for Congress,"$1,321 ",2018,Democrat,0.475
Saul Katz,NEW YORK METS,MLB,Suozzi for Congress,"$1,300 ",2016,Democrat,0.537
Saul Katz,NEW YORK METS,MLB,Donovan for Congress,$260 ,2016,Republican,0.537
Scott Malkin,NEW YORK ISLANDERS,NHL,SHAHEEN FOR SENATE,"$5,600 ",2020,Democrat,
Scott Malkin,NEW YORK ISLANDERS,NHL,FRIENDS OF SCHUMER,"$2,700 ",2016,Democrat,
Sheila Ford Hamp,DETROIT LIONS,NFL,Gridiron-PAC,"$10,000 ",2018,Bipartisan,0.375
Sheila Ford Hamp,DETROIT LIONS,NFL,Stabenow Victory Fund,"$10,000 ",2020,Democrat,0.313
Sheila Ford Hamp,DETROIT LIONS,NFL,Gridiron-PAC,"$5,000 ",2016,Bipartisan,0.563
Sheila Ford Hamp,DETROIT LIONS,NFL,Gridiron-PAC,"$5,000 ",2020,Bipartisan,0.313
Stephen J. Bisciotti,BALTIMORE RAVENS,NFL,Gridiron-PAC,"$5,000 ",2016,Bipartisan,0.5
Stephen M. Ross,MIAMI DOLPHINS,NFL,NRCC,"$161,800 ",2016,Republican,0.625
Stephen M. Ross,MIAMI DOLPHINS,NFL,REPUBLICAN NATIONAL COMMITTEE,"$50,000 ",2020,Republican,0.625
Stephen M. Ross,MIAMI DOLPHINS,NFL,NRCC,"$33,400 ",2018,Republican,0.438
Stephen M. Ross,MIAMI DOLPHINS,NFL,NEW JERSEY DEMOCRATIC STATE COMMITTEE,"$20,000 ",2018,Democrat,0.438
Stephen M. Ross,MIAMI DOLPHINS,NFL,SECURITY IS STRENGTH PAC,"$12,500 ",2016,Republican,0.625
Stephen M. Ross,MIAMI DOLPHINS,NFL,CROWLEY LEADERSHIP FUND,"$10,400 ",2018,Democrat,0.438
Stephen M. Ross,MIAMI DOLPHINS,NFL,TILLIS MAJORITY COMMITTEE,"$10,000 ",2018,Republican,0.438
Stephen M. Ross,MIAMI DOLPHINS,NFL,DEMOCRATIC PARTY OF VIRGINIA,"$10,000 ",2020,Democrat,0.625
Stephen M. Ross,MIAMI DOLPHINS,NFL,ALAMO PAC,"$8,000 ",2018,Republican,0.438
Stephen M. Ross,MIAMI DOLPHINS,NFL,MIMI WALTERS VICTORY FUND,"$6,250 ",2018,Republican,0.438
